[2026-05-04 07:06:19] SMS to [+1234567890]: 🔔 CLASS STARTING SOON |  | Subject: Introduction to AI | Group: CS-2024-A | Room: L-101 | Starts at: 09:00 |  | Prepare for your class!
[2026-05-04 07:06:19] SMS to [+1234567890]: ⚠️ CLASS ENDING SOON |  | Subject: Data Structures | Group: CS-2024-B | Room: L-102 | Ends at: 11:00 |  | Wrap up your class!
[2026-05-04 07:35:41] SMS to [+1234567890]: 🔔 CLASS STARTING SOON |  | Subject: Introduction to AI | Group: CS-2024-A | Room: L-101 | Starts at: 09:00 |  | Prepare for your class!
[2026-05-04 07:35:41] SMS to [+1234567890]: ⚠️ CLASS ENDING SOON |  | Subject: Data Structures | Group: CS-2024-B | Room: L-102 | Ends at: 11:00 |  | Wrap up your class!
[2026-05-04 07:41:59] SMS to [+1234567890]: 🔔 CLASS STARTING SOON |  | Subject: Introduction to AI | Group: CS-2024-A | Room: L-101 | Starts at: 09:00 |  | Prepare for your class!
[2026-05-04 07:41:59] SMS to [+1234567890]: ⚠️ CLASS ENDING SOON |  | Subject: Data Structures | Group: CS-2024-B | Room: L-102 | Ends at: 11:00 |  | Wrap up your class!
[2026-05-04 07:43:49] SMS to [+1234567890]: 🔔 CLASS STARTING SOON |  | Subject: Introduction to AI | Group: CS-2024-A | Room: L-101 | Starts at: 09:00 |  | Prepare for your class!
[2026-05-04 07:43:49] SMS to [+1234567890]: ⚠️ CLASS ENDING SOON |  | Subject: Data Structures | Group: CS-2024-B | Room: L-102 | Ends at: 11:00 |  | Wrap up your class!
[2026-05-04 07:44:39] SMS to [+1234567890]: 🔔 CLASS STARTING SOON |  | Subject: Introduction to AI | Group: CS-2024-A | Room: L-101 | Starts at: 09:00 |  | Prepare for your class!
[2026-05-04 07:44:39] SMS to [+1234567890]: ⚠️ CLASS ENDING SOON |  | Subject: Data Structures | Group: CS-2024-B | Room: L-102 | Ends at: 11:00 |  | Wrap up your class!
[2026-05-04 07:44:47] SMS to [+1234567890]: 🔔 CLASS STARTING SOON |  | Subject: Introduction to AI | Group: CS-2024-A | Room: L-101 | Starts at: 09:00 |  | Prepare for your class!
[2026-05-04 07:44:47] SMS to [+1234567890]: ⚠️ CLASS ENDING SOON |  | Subject: Data Structures | Group: CS-2024-B | Room: L-102 | Ends at: 11:00 |  | Wrap up your class!
[2026-05-04 07:49:38] SMS to [+1234567890]: 🔔 CLASS STARTING SOON |  | Subject: Introduction to AI | Group: CS-2024-A | Room: L-101 | Starts at: 09:00 |  | Prepare for your class!
[2026-05-04 07:49:38] SMS to [+1234567890]: ⚠️ CLASS ENDING SOON |  | Subject: Data Structures | Group: CS-2024-B | Room: L-102 | Ends at: 11:00 |  | Wrap up your class!
[2026-05-06 07:14:26] SMS to [+1234567890]: 🔔 CLASS STARTING SOON |  | Subject: Introduction to AI | Group: CS-2024-A | Room: L-101 | Starts at: 09:00 |  | Prepare for your class!
[2026-05-06 07:14:26] SMS to [+1234567890]: ⚠️ CLASS ENDING SOON |  | Subject: Data Structures | Group: CS-2024-B | Room: L-102 | Ends at: 11:00 |  | Wrap up your class!
[2026-05-06 07:22:39] SMS to [+1234567890]: 🔔 CLASS STARTING SOON |  | Subject: Introduction to AI | Group: CS-2024-A | Room: L-101 | Starts at: 09:00 |  | Prepare for your class!
[2026-05-06 07:22:39] SMS to [+1234567890]: ⚠️ CLASS ENDING SOON |  | Subject: Data Structures | Group: CS-2024-B | Room: L-102 | Ends at: 11:00 |  | Wrap up your class!
[2026-05-06 07:32:37] SMS to [+1234567890]: 🔔 CLASS STARTING SOON |  | Subject: Introduction to AI | Group: CS-2024-A | Room: L-101 | Starts at: 09:00 |  | Prepare for your class!
[2026-05-06 07:32:37] SMS to [+1234567890]: ⚠️ CLASS ENDING SOON |  | Subject: Data Structures | Group: CS-2024-B | Room: L-102 | Ends at: 11:00 |  | Wrap up your class!
[2026-05-06 07:33:14] SMS to [+1234567890]: 🔔 CLASS STARTING SOON |  | Subject: Introduction to AI | Group: CS-2024-A | Room: L-101 | Starts at: 09:00 |  | Prepare for your class!
[2026-05-06 07:33:14] SMS to [+1234567890]: ⚠️ CLASS ENDING SOON |  | Subject: Data Structures | Group: CS-2024-B | Room: L-102 | Ends at: 11:00 |  | Wrap up your class!
